Time,L_PWM,R_PWM,L_Force_kg,R_Force_kg,L_Hip_Joint,L_Hip_Vert,L_Knee,L_Ankle,R_Hip_Joint,R_Hip_Vert,R_Knee,R_Ankle
0.0,1.2000000000000002,143.4,77.5,138.3,-9.700000000000001,-4.800000000000001,13.600000000000001,1.0,25.53502400275958,-3.3000000000000003,-1.0,-14.700000000000001
0.01,5.0,129.0,82.2,139.3,-7.0,-1.540518222483794,10.3,1.3,26.6,-3.8000000000000003,1.4000000000000001,-11.100000000000001
0.02,10.600000000000001,118.2,85.7,137.1,-8.794754927436514,-4.4,7.4,1.7000000000000002,26.8,-5.2,2.1,-13.5
0.03,15.200000000000001,93.2,93.80000000000001,136.6,-6.945965424126763,-3.3000000000000003,2.5,3.9000000000000004,25.27561851152858,-4.4,-0.5,-10.5
0.04,24.0,79.2,101.9,131.9,-7.5,-2.2373640775027788,0.6559030576837654,4.1000000000000005,24.700000000000003,-4.6000000000000005,-1.6,-11.802816705835243
0.05,28.8,65.4,110.60000000000001,127.10000000000001,-9.1,-4.0,0.4,5.1000000000000005,24.900000000000002,-6.5,2.0,-14.8
0.06,41.800000000000004,49.800000000000004,113.7,120.0,-8.1,-2.4000000000000004,1.9000000000000001,6.300000000000001,23.8,-9.200000000000001,-0.19170550080585846,-12.600000000000001
0.07,55.800000000000004,36.4,126.4,111.10000000000001,-9.5,-3.2,4.0,9.5,24.510096128396583,-6.6225291232026855,-1.4000000000000001,-12.644588605342411
0.08,72.4,25.8,128.8,105.4,-7.0,-2.031932887181908,6.6000000000000005,11.200000000000001,21.900000000000002,-7.5,1.2000000000000002,-12.0
0.09,94.0,16.6,130.6,99.60000000000001,-9.0,-0.9,6.5,9.3,22.400000000000002,-7.7,0.8,-14.4
0.1,116.80000000000001,12.0,135.6,95.5,-7.0,-0.7296346665635052,9.2977234957834,15.0,23.200000000000003,-9.0,-0.6000000000000001,-12.3
0.11,138.8,8.4,141.6,88.5,-5.674778797302869,-0.2,12.3,13.3,22.1,-6.800000000000001,1.6,-11.314224670726551
0.12,156.8,7.6000000000000005,142.6,85.2,-3.5,1.5,13.200000000000001,17.0,21.3,-6.5,2.1,-10.8
0.13,174.0,1.8,138.6,75.4,-4.1000000000000005,2.5,15.5,17.8,21.498031887720018,-8.0,1.8,-11.4
0.14,186.60000000000002,0.0,136.70000000000002,3.4000000000000004,-3.2,3.7,14.5,17.900000000000002,21.729057729345076,-9.8,1.6855099763066463,-12.700000000000001
0.15,198.20000000000002,0.0,130.0,3.0,-3.6,1.3,11.8,14.600000000000001,22.319724129894112,-10.100000000000001,-1.0,-10.4
0.16,198.4,0.2,128.9,0.0,-3.6,3.2,14.200000000000001,13.0,21.8,-10.4,0.18796834700992066,-9.8
0.17,199.0,1.8,119.0,0.0,-4.1000000000000005,2.4000000000000004,12.3,13.3,22.3,-10.700000000000001,2.2,-10.600000000000001
0.18,186.20000000000002,0.8,114.80000000000001,0.0,-1.7670715504254975,0.4,9.700000000000001,14.4,20.026963183590325,-10.9,-0.30000000000000004,-10.8
0.19,170.4,0.0,109.0,0.5,-2.8000000000000003,0.6000000000000001,10.5,15.8,19.5,-10.3,2.1,-10.100000000000001
0.2,150.8,0.4,99.60000000000001,3.5,-3.259288039585925,2.1,8.200000000000001,12.167320622904775,18.3,-9.9,6.300000000000001,-7.1000000000000005
0.21,127.80000000000001,0.0,94.2,0.0,-0.30000000000000004,5.1000000000000005,9.4,13.092902259248923,17.7,-9.385826978438914,7.5,-7.0
0.22,107.2,2.2,90.30000000000001,0.0,1.3,3.3000000000000003,7.127038749263454,12.0,19.700000000000003,-12.500128815231562,13.0,-7.6000000000000005
0.23,86.80000000000001,0.0,81.2,3.0,-0.30000000000000004,2.1,4.0,12.4,16.900000000000002,-12.4,13.808245718705683,-7.2
0.24,68.2,0.0,76.3,0.0,1.2000000000000002,3.9000000000000004,3.6,9.1,16.2,-10.687617559868166,20.5,-8.5
0.25,50.6,0.0,72.3,2.6,0.9,1.5,14.600000000000001,12.669491722774426,13.700000000000001,-13.0,20.1,-5.9
0.26,39.0,0.6000000000000001,67.60000000000001,0.9,3.7045734086170645,2.3000000000000003,12.8,9.700000000000001,14.8,-13.4,26.0,-6.7
0.27,28.6,0.8,65.5,0.0,5.1000000000000005,2.7,11.004224160625359,9.687600784112993,14.4,-13.200000000000001,27.112158905934823,-4.5
0.28,17.8,0.0,65.10000000000001,1.5,3.8000000000000003,3.6,10.84510630297229,7.9,14.200000000000001,-12.4,29.5,-2.6857685502799855
0.29,16.2,0.0,62.900000000000006,0.0,5.7,5.2,10.700000000000001,7.7996687771010125,12.778794312960322,-10.306418388100651,33.5,-4.7
0.3,5.2,0.0,62.7,0.0,6.800000000000001,5.1000000000000005,12.600000000000001,9.4,11.100000000000001,-12.496903695969687,36.4,-2.7
0.31,4.800000000000001,0.0,58.1,0.0,9.700000000000001,3.5,10.200000000000001,8.085990088970204,10.3,-12.0,38.6,-1.185375295269912
0.32,3.2,0.0,60.900000000000006,0.1,8.200000000000001,5.1000000000000005,11.8,7.7,9.620435629408911,-13.751160375098232,41.2,-1.5
0.33,0.4,1.4000000000000001,61.7,0.6000000000000001,9.200000000000001,5.5,11.3,6.1000000000000005,9.0,-11.100000000000001,43.800000000000004,-1.9000000000000001
0.34,0.0,0.0,58.2,1.2000000000000002,9.700000000000001,4.9,12.0,5.315704427407271,9.600000000000001,-11.3,42.6,-0.6000000000000001
0.35000000000000003,0.6000000000000001,0.2,59.800000000000004,0.0,10.600000000000001,4.6000000000000005,10.555477167920422,3.7,8.6,-12.9,47.0,1.069519383231332
0.36,0.0,0.0,56.2,0.0,13.600000000000001,2.0,9.8,2.9000000000000004,7.4,-13.117068714499204,46.900000000000006,0.8
0.37,0.0,2.0,57.5,0.0,11.200000000000001,2.4000000000000004,7.4,4.7,8.1,-11.0,48.6,1.1
0.38,0.0,1.8,60.800000000000004,0.8,11.295258003490176,3.1,6.6000000000000005,5.0,1.710580587425962,-12.4,50.0937321965582,3.0
0.39,0.0,1.2000000000000002,59.0,0.0,11.700000000000001,0.1,7.4,0.9,3.6,-12.828354722651568,50.300000000000004,2.8000000000000003
0.4,0.0,0.8,63.0,1.5,16.2,4.800000000000001,8.779115554329568,2.9000000000000004,3.4000000000000004,-12.3,53.6,1.275300520630988
0.41000000000000003,0.0,0.0,60.0,0.0,14.5,2.9000000000000004,8.8,2.0,1.7956680456045757,-11.4,52.300000000000004,4.1000000000000005
0.42,0.2,0.0,61.0,0.9,17.7,5.6000000000000005,7.300000000000001,3.4000000000000004,0.8,-10.605150555716929,55.5,5.098669813788245
0.43,0.0,0.0,57.300000000000004,1.6,16.737613715453207,5.300000000000001,6.4,1.9000000000000001,-0.9,-11.0,57.300000000000004,3.0
0.44,0.0,1.6,59.300000000000004,0.0,16.400000000000002,3.4000000000000004,5.4,0.8,0.1,-10.8,57.6,2.4000000000000004
0.45,0.4,0.2,58.6,0.4,19.200000000000003,4.7,5.6000000000000005,-1.2000000000000002,0.9,-11.200000000000001,54.400000000000006,4.422861052271222
0.46,0.0,1.4000000000000001,58.0,0.0,17.400000000000002,3.6,5.1000000000000005,-3.2,0.1,-10.497567948939095,54.10075492421895,6.1000000000000005
0.47000000000000003,5.2,2.0,61.900000000000006,0.0,19.400000000000002,1.7000000000000002,5.7,-1.1564082195911563,-2.4000000000000004,-10.941437116375628,56.1,8.035279810300246
0.48,2.2,0.0,62.400000000000006,0.0,20.1,1.3,3.8000000000000003,-2.4000000000000004,-1.9000000000000001,-10.469402797782143,54.7,6.300000000000001
0.49,5.4,0.0,62.400000000000006,0.0,21.400000000000002,3.0,4.7,-2.5,-1.1,-8.200000000000001,53.800000000000004,8.6
0.51,8.200000000000001,0.2,61.5,0.0,20.900000000000002,2.6,2.9000000000000004,-4.015185065235304,-5.1000000000000005,-9.50779472123051,51.400000000000006,5.0
0.52,12.200000000000001,0.0,64.3,0.0,23.1,3.5,3.8000000000000003,-3.4000000000000004,-4.0,-9.700000000000001,52.0,9.3
0.53,21.0,0.0,63.0,0.0,22.200000000000003,-0.7000000000000001,3.672071810763979,-2.4000000000000004,-4.0,-9.8,51.6,9.200000000000001
0.54,28.200000000000003,1.8,70.3,0.30000000000000004,20.700000000000003,2.1,3.2,-3.3144260486163515,-4.800000000000001,-11.3,48.1,12.8
0.55,39.0,0.4,69.3,1.7000000000000002,24.6,-0.6000000000000001,2.7,-6.300000000000001,-4.212165630963185,-5.808681316616897,48.0,8.5
0.56,52.0,0.0,73.10000000000001,0.0,24.1,0.8,2.3000000000000003,-6.576169752939774,-7.4,-5.300000000000001,45.800000000000004,11.4
0.5700000000000001,66.0,0.0,79.60000000000001,0.0,23.0,0.6000000000000001,1.7000000000000002,-8.9,-7.2,-6.784116015531675,42.800000000000004,9.658648484804093
0.58,84.80000000000001,1.4000000000000001,85.4,0.0,21.900000000000002,1.6,1.4000000000000001,-7.596940906847892,-5.616839996920458,-8.4,41.449325575674585,11.9
0.59,104.80000000000001,0.0,90.4,0.0,21.789869681906815,-2.4000000000000004,-3.0,-7.5,-8.700000000000001,-3.5,37.9,11.100000000000001
0.6,116.60000000000001,0.8,95.0,0.0,24.8,-1.7000000000000002,1.3,-8.9,-6.0,-8.072675566665136,37.800000000000004,16.400000000000002
0.61,134.6,1.2000000000000002,106.2,0.0,27.400000000000002,-1.2000000000000002,-1.6,-9.600000000000001,-6.7,-5.6000000000000005,33.0,13.8
0.62,146.0,0.0,107.30000000000001,0.0,25.900000000000002,-2.3000000000000003,1.426762220176359,-9.4,-6.5,-7.7,30.945714795803458,14.600000000000001
0.63,157.0,1.0,115.4,1.2000000000000002,26.0,0.2,4.2,-6.207116056037926,-8.149032563869717,-7.800000000000001,29.900000000000002,15.3
0.64,160.4,0.0,123.2,0.30000000000000004,26.8,-1.6,1.7023793068484008,-8.3,-7.133044144869322,-4.5,25.3,14.642561991567222
0.65,159.60000000000002,0.2,127.2,0.0,29.1,-2.1,1.1,-9.600000000000001,-9.200000000000001,-4.0,21.900000000000002,17.8
