Time,L_Hip_Joint,L_Hip_Vert,L_Knee,L_Ankle,R_Hip_Joint,R_Hip_Vert,R_Knee,R_Ankle
0.0,-9.4,-4.800000000000001,-0.4,0.6000000000000001,29.6,-5.0,-0.8,-16.6
0.01,-8.254932458504399,-4.6000000000000005,2.6,3.0,30.0,-4.2,-0.6000000000000001,-16.2
0.02,-10.766602826789622,-4.800000000000001,5.6000000000000005,2.2,28.6,-7.0,0.2,-15.4
0.03,-8.4,-2.8000000000000003,9.0,5.0,31.400000000000002,-7.6000000000000005,0.611921615923978,-12.345251981672888
0.04,-9.4,-1.6,11.600000000000001,7.028000814173177,30.400000000000002,-7.800000000000001,-0.4,-16.2
0.05,-10.4,-2.8000000000000003,14.0,8.0,30.6,-7.2,2.0,-14.200000000000001
0.06,-9.8,-0.2,16.8,11.4,29.200000000000003,-7.800000000000001,1.0769687741456495,-15.0
0.07,-8.200000000000001,-0.8,14.4,12.8,26.326938128026917,-5.4,-2.0,-14.03261396315828
0.08,-8.200000000000001,-0.2,15.200000000000001,16.0,29.6,-9.8,-0.0,-16.2
0.09,-8.6,-1.6,13.600000000000001,16.6,26.6,-9.8,-0.8,-15.200000000000001
0.1,-8.200000000000001,-1.2000000000000002,14.4,19.200000000000003,26.0,-8.4,2.0,-15.8
0.11,-6.800000000000001,1.2000000000000002,13.4,20.012245600122906,26.400000000000002,-10.567508476494858,-1.1214083183489298,-15.600000000000001
0.12,-5.0,2.4000000000000004,11.132028893602245,16.8,26.8,-12.4,6.2,-13.200000000000001
0.13,-4.4,1.4426587942606905,8.4,17.0,25.848411504847206,-11.4,10.57695035360277,-14.200000000000001
0.14,-4.0,4.2,7.0,18.0,24.8,-11.4,15.991230007318359,-12.0
0.15,-2.4000000000000004,3.6,3.6,17.2,22.8,-12.8,20.0,-11.336452720064504
0.16,-0.6000000000000001,2.4000000000000004,-0.0,16.0,21.805232529128276,-12.0,26.200000000000003,-11.600000000000001
0.17,-0.3937032934388966,3.5294234120684345,16.2,16.6,21.6,-12.4,29.400000000000002,-10.4
0.18,0.2,6.4,14.8,15.0,20.200000000000003,-14.0,31.0,-8.6
0.19,2.2,3.0,16.040003550462046,15.200000000000001,20.200000000000003,-12.200000000000001,38.2,-8.200000000000001
0.2,1.4000000000000001,5.054465064890194,14.0,10.4,19.0,-14.8,40.800000000000004,-7.2
0.21,3.2,4.4707514142137175,13.4,13.74763696655164,17.8,-13.726238584174268,45.6,-6.6000000000000005
0.22,4.456733723009517,5.6000000000000005,13.4,10.600000000000001,13.600000000000001,-15.0,47.2,-6.0
0.23,4.4,6.228260470849008,10.4,10.4,15.0,-16.2,49.6,-4.800000000000001
0.24,6.4,4.75407447200023,13.200000000000001,10.8,13.600000000000001,-14.200000000000001,52.400000000000006,-2.6
0.25,6.0,6.4,12.0,6.800000000000001,12.8,-12.8,57.2,-2.580738888037499
0.26,11.0,7.6000000000000005,10.0,7.800000000000001,10.8,-14.855620149853529,59.27344988431755,-2.4122920237707115
0.27,9.4,5.4,9.0,8.200000000000001,9.0,-16.2,59.81738019188779,-2.6
0.28,13.200000000000001,6.0,8.6,5.730561013729868,9.600000000000001,-14.4,59.400000000000006,-1.1802907261759532
0.29,12.8,4.6000000000000005,7.6000000000000005,6.6000000000000005,7.800000000000001,-15.4,64.60000000000001,-0.8157024150897478
0.3,14.332985479859955,5.2,6.6000000000000005,5.647863102235466,7.6000000000000005,-13.4,62.400000000000006,0.2
0.31,14.600000000000001,5.0,6.4,4.2,5.2,-14.600000000000001,67.2,-0.2
0.32,16.400000000000002,5.800000000000001,4.646035325967377,3.8000000000000003,6.2,-16.0,63.95406865325396,2.654085696295708
0.33,18.05499078455009,6.0,6.2,3.8000000000000003,4.6000000000000005,-13.600000000000001,65.4,5.397170972810816
0.34,19.0,4.4,5.800000000000001,2.2,2.8000000000000003,-13.541966465795273,65.2,4.464194137560694
0.35000000000000003,20.200000000000003,5.800000000000001,6.800000000000001,1.8,1.2000000000000002,-13.8,64.8,5.800000000000001
0.36,20.200000000000003,5.6000000000000005,5.811882670336145,-0.8,1.4000000000000001,-14.200000000000001,63.6,6.800000000000001
0.37,20.966927144513413,4.6000000000000005,3.6,-0.2,-0.2173266350696364,-11.200000000000001,62.03030090693384,6.4
0.38,20.8,3.0,3.4000000000000004,-1.0548077866165975,-1.2000000000000002,-13.0,59.800000000000004,7.201569292935653
0.39,23.8,2.6,4.2,-1.2000000000000002,-1.4000000000000001,-11.41268702873709,58.0,7.0
0.4,25.42477690674691,2.0,2.0,-4.4,-1.7939968917971088,-12.200000000000001,55.2,9.4
0.41000000000000003,26.6,3.177614415330168,1.9343527803267149,-2.8000000000000003,-5.2,-10.8,53.400000000000006,10.0
0.42,26.200000000000003,0.796358379969429,0.8,-5.6000000000000005,-5.800000000000001,-10.8,48.6,10.0
0.43,25.72642060625252,2.2167399635523606,0.8,-3.2,-6.2,-10.362812515851306,47.6,12.8
0.44,25.6,-0.0,0.6000000000000001,-7.2,-7.6000000000000005,-10.8,43.800000000000004,11.625658942341984
0.45,29.0,1.42698609436987,0.2,-8.4,-6.800000000000001,-9.0,40.95291938912737,16.2
0.46,26.6,0.0,1.8,-8.200000000000001,-6.6000000000000005,-7.6000000000000005,36.0,14.4
0.47000000000000003,28.6,0.8,-0.2,-7.6000000000000005,-7.800000000000001,-9.4,33.0,14.8
0.48,29.200000000000003,0.2,0.8,-9.250158930754276,-8.8,-8.8,28.6,17.6
0.49,29.8,-0.2,2.4000000000000004,-8.6,-7.382007768246829,-4.433033865802067,23.6,14.200000000000001
0.51,30.200000000000003,-0.6000000000000001,1.0624133071274813,-11.4,-8.6,-7.800000000000001,19.6,17.0
0.52,30.41753300740858,-2.6,-0.0,-12.323450524161753,-8.6,-6.800000000000001,13.4,17.879639107361097
0.53,28.200000000000003,-4.4,1.0,-13.4,-8.0,-4.22656252507744,11.4,18.8
0.54,30.6,-4.800000000000001,3.2,-14.0,-9.4,-3.6756586840211094,4.9742972389874955,19.943514534561366
0.55,28.400000000000002,-6.391325645548979,0.8,-15.8,-7.2,-6.800000000000001,0.6000000000000001,0.4
0.56,31.400000000000002,-6.023789772668503,1.6,-14.96523826376374,-9.856078990420194,-3.0,2.7564096260952566,4.0
0.5700000000000001,30.0,-5.4,0.8,-15.600000000000001,-7.2,-3.4000000000000004,6.2,4.800000000000001
0.58,28.234763470269975,-6.6000000000000005,1.0,-13.639922105343805,-10.0,-2.7245753354932867,11.4,6.837876663797346
0.59,29.400000000000002,-6.737453235109617,0.8,-12.8,-8.21321353674777,-0.8,12.4,8.542219556466549
0.6,29.400000000000002,-6.800000000000001,-0.2,-14.0,-9.02630620636989,-1.7498475879630746,13.959196834549415,8.6
0.61,30.7790000343209,-8.0,1.2000000000000002,-14.985448166375743,-7.0,-1.4000000000000001,15.4,12.0
0.62,29.400000000000002,-9.4,-0.4,-13.600000000000001,-8.0,-0.6000000000000001,16.8,14.0
0.63,29.0,-8.866977270717127,0.6000000000000001,-14.200000000000001,-6.800000000000001,-0.2,17.720744893050686,14.4
0.64,29.200000000000003,-10.200000000000001,2.8000000000000003,-13.194542105855598,-7.2,1.0,17.0,18.400000000000002
0.65,27.400000000000002,-10.00539903132104,0.8,-15.200000000000001,-5.0,2.5350268732681953,16.2,17.2542186185223
0.66,27.6,-9.0,0.8,-14.944884277197785,-5.800000000000001,2.2,13.600000000000001,23.200000000000003
0.67,26.8,-11.0,6.800000000000001,-12.600000000000001,-2.8000000000000003,2.2,12.4,19.8
0.68,24.0,-9.355909625845204,10.6745017325933,-12.4,-4.800000000000001,3.2,10.4,18.215432540985923
0.6900000000000001,26.0,-10.200000000000001,16.0,-10.600000000000001,-4.2,3.8000000000000003,7.6000000000000005,18.8
0.7000000000000001,22.200000000000003,-12.470260373553376,19.200000000000003,-11.600000000000001,-1.0,4.0,4.260913413151912,18.070105529697035
0.71,23.8,-13.4,25.8,-9.600000000000001,-1.6,3.2,1.0,18.6
0.72,20.400000000000002,-12.600000000000001,29.400000000000002,-8.6,-0.2,4.6000000000000005,17.167358479244125,17.6
0.73,21.400000000000002,-11.8,32.4,-9.8,0.6000000000000001,2.4000000000000004,16.53381990072365,13.658553056311181
0.74,21.8,-13.600000000000001,37.800000000000004,-7.6000000000000005,0.6000000000000001,6.2,16.533917984908975,14.0
0.75,18.6,-12.4,43.2,-8.8,2.8000000000000003,6.4,15.200000000000001,12.4
0.76,17.400000000000002,-12.4,44.0,-4.4,5.4,6.0,12.200000000000001,13.4
0.77,17.2,-14.600000000000001,49.0,-6.4,6.176065431170886,6.6000000000000005,16.2,13.200000000000001
0.78,15.200000000000001,-14.567146365310194,51.75237816965149,-4.4,6.6000000000000005,5.4,13.200000000000001,9.531979525995013
0.79,16.2,-13.4,54.63274237111052,-3.4000000000000004,8.6,5.079921407306204,12.200000000000001,10.200000000000001
0.8,13.4,-14.0,57.8547101809028,-3.6,7.6000000000000005,4.4,12.0,8.741968406668619
0.81,11.8,-14.8,58.800000000000004,0.0,9.4,6.800000000000001,11.0,9.4
0.8200000000000001,10.4,-14.548846140359469,61.2,-1.5633086803467802,11.4,5.0168039355524705,10.0,8.200000000000001
0.8300000000000001,8.8,-14.174266992235673,62.800000000000004,-0.4,11.934613590145169,5.456596582074302,10.8,8.200000000000001
0.84,8.0,-15.600000000000001,63.2,-0.0,13.0,6.0,9.4,5.800000000000001
0.85,7.2,-13.200000000000001,65.60000000000001,0.8530753800789098,13.200000000000001,5.6000000000000005,9.0,5.216187348577092
0.86,5.754465712841943,-14.4,65.4,2.2,13.600000000000001,5.800000000000001,6.0,5.0
0.87,4.6000000000000005,-16.400000000000002,67.8,3.8000000000000003,17.54557495808004,3.6,7.608962924233753,3.6
0.88,6.2,-13.677930097235944,65.60000000000001,4.2,18.0,4.930665722124459,6.2,3.2
0.89,2.006020908256567,-14.0,64.4,4.0,19.745893130813798,5.800000000000001,6.2,3.402930342390732
0.9,2.2,-11.4,66.0,5.6000000000000005,19.6,4.382312188558708,6.2,3.4000000000000004
0.91,1.6,-13.451178075658847,63.2,5.0,20.400000000000002,3.6,4.800000000000001,-0.05302957910184887
0.92,0.6000000000000001,-13.62526190737729,61.400000000000006,8.4,22.0,5.2,4.4,2.0
0.93,-1.0,-11.600000000000001,61.2,7.6000000000000005,23.8,3.6,4.4,-1.6
0.9400000000000001,-2.0,-12.4,60.206374963606834,8.4,23.6,3.8000000000000003,3.2,-1.059302523476536
0.9500000000000001,-2.2,-12.200000000000001,57.2,7.800000000000001,25.6,3.0,2.0,-3.2
