Time,L_PWM,R_PWM,L_Force_kg,R_Force_kg,L_Hip_Joint,L_Hip_Vert,L_Knee,L_Ankle,R_Hip_Joint,R_Hip_Vert,R_Knee,R_Ankle
0.0,0.8,0.0,82.4,136.5,-10.3,-3.7,-1.0,-0.30000000000000004,29.900000000000002,-3.8000000000000003,0.4,-13.5
0.01,0.0,0.0,82.9,136.20000000000002,-10.397532769331438,-4.4,3.3000000000000003,1.7555638659328703,30.3,-3.4000000000000004,-1.0,-12.15578533969338
0.02,1.6,2.2,93.2,136.1,-8.9,-4.327193818309998,7.0,4.362393919426444,30.700000000000003,-4.7,3.3000000000000003,-12.200000000000001
0.03,2.4000000000000004,0.0,97.80000000000001,132.1,-7.4,-3.5488473985947016,11.100000000000001,9.8,32.6,-5.6000000000000005,0.30000000000000004,-14.200000000000001
0.04,0.0,0.2,108.30000000000001,126.30000000000001,-9.700000000000001,-2.5,12.3,9.200000000000001,29.594948196518544,-8.4,1.1,-12.5
0.05,0.0,0.0,118.7,123.10000000000001,-11.8,-2.6,14.653185676252827,10.899921150353327,30.1,-7.1000000000000005,1.0,-12.9
0.06,2.6,0.0,126.0,112.2,-9.700000000000001,-1.0,15.8,11.3,28.5,-8.1,-0.7000000000000001,-15.306406550910888
0.07,1.8,4.800000000000001,131.0,105.4,-7.9,-2.536965927643093,15.896930299636,12.5,29.074167122597263,-9.5,0.2,-12.751459521651938
0.08,0.0,0.0,135.8,94.80000000000001,-7.9860625199457225,-0.9,14.242462281784254,11.0,28.200000000000003,-9.9,-0.5118160903438873,-15.600000000000001
0.09,1.2000000000000002,2.0,141.3,85.30000000000001,-7.300000000000001,-0.6000000000000001,17.6,15.183696478784684,26.400000000000002,-10.700000000000001,-2.1,-15.4
0.1,0.0,0.0,144.20000000000002,82.2,-7.016200121897151,-0.30000000000000004,17.0,17.979581336275135,26.400000000000002,-9.5,-0.1,-13.700000000000001
0.11,0.0,0.4,138.0,0.0,-6.9,1.0,14.5,18.2,26.8,-9.2131115377626,0.30000000000000004,-15.100000000000001
0.12,0.8,1.2000000000000002,137.5,0.30000000000000004,-3.6,2.5,11.100000000000001,18.400000000000002,24.700000000000003,-10.9,5.163249895626629,-13.8
0.13,0.0,0.0,126.60000000000001,0.0,-4.800000000000001,3.9809268111499696,8.8,16.6,24.900000000000002,-12.92061979711845,8.9,-11.4
0.14,0.0,0.0,120.60000000000001,3.8000000000000003,-0.30000000000000004,2.5,7.5,18.1,23.5,-13.200000000000001,16.5,-12.200000000000001
0.15,0.0,0.0,113.2,1.6,-2.3000000000000003,1.6,3.2,17.8,23.5,-11.600000000000001,21.6,-13.5
0.16,0.0,0.0,101.60000000000001,0.0,-3.0593133422660164,4.2,-1.7000000000000002,16.8,21.850141822013395,-14.0,25.400000000000002,-10.200000000000001
0.17,0.8,4.6000000000000005,93.2,2.6,-2.3912630131424426,1.9000000000000001,13.3,15.0,20.405996414714586,-12.86718748081431,30.0,-10.600000000000001
0.18,0.0,0.0,88.4,0.0,-0.9,3.3000000000000003,13.889759186931064,12.3,21.5,-13.9,32.300000000000004,-7.9
0.19,0.0,1.0,79.2,1.1,0.1585402484290874,3.3000000000000003,14.700000000000001,10.700000000000001,19.509065522660865,-15.0,36.0,-7.300000000000001
0.2,2.8000000000000003,3.4000000000000004,73.0,0.5,3.694980399070443,4.3,16.0,10.9,18.14720489647757,-13.0,39.6,-5.6000000000000005
0.21,0.0,0.0,68.60000000000001,0.2,4.1000000000000005,4.800000000000001,14.8,10.9,17.586147833409427,-13.3,44.900000000000006,-5.4
0.22,0.6000000000000001,0.4,66.3,2.7,4.5,6.300000000000001,13.3,10.9,14.0,-16.0,47.800000000000004,-4.4
0.23,0.0,0.0,65.5,0.9,8.8,1.2000000000000002,13.600000000000001,11.3,17.400000000000002,-13.9,50.63620508569761,-5.744316093892018
0.24,0.0,0.0,63.800000000000004,0.8,7.4,6.9,12.612492246978848,8.6,13.8,-14.200000000000001,55.1,-3.1
0.25,0.2,0.0,62.7,0.0,9.0,4.1000000000000005,12.200000000000001,9.3,10.200000000000001,-13.586147495380835,56.6,-0.9
0.26,0.0,0.0,61.300000000000004,0.0,7.9,5.1000000000000005,9.827981867562315,7.5,12.889413324282831,-14.5,57.400000000000006,-3.2
0.27,1.0,0.6000000000000001,59.400000000000006,0.1,9.8,4.561687876059095,10.700000000000001,6.4,9.4,-12.960174091632517,59.5,0.6000000000000001
