"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y";"Angle 2.o/0/X";"Angle 2.o/0/Y";"Angle 2.a/0/X";"Angle 2.a/0/Y";"Angle 2.b/0/X";"Angle 2.b/0/Y";"Angle 2/o/X";"Angle 2/o/Y";"Angle 2/a/X";"Angle 2/a/Y";"Angle 2/b/X";"Angle 2/b/Y"
"0,0200";"925,9989";"-384,6226";"922,4763";"-270,1017";"927,6151";"-499,4323";"925,9989";"-384,6226";"922,4763";"-270,1017";"927,6151";"-499,4323";;;;;;;;;;;;
"0,0400";"924,6327";"-384,7729";"920,7642";"-270,4534";"926,3273";"-499,3775";"924,6327";"-384,7729";"920,7642";"-270,4534";"926,3273";"-499,3775";"909,6849";"-384,1073";"912,6764";"-269,7108";"905,0591";"-498,3032";"909,6849";"-384,1073";"912,6764";"-269,7108";"905,0591";"-498,3032"
"0,0600";"923,2407";"-384,8065";"919,1375";"-270,8716";"925,2702";"-499,5020";"923,2407";"-384,8065";"919,1375";"-270,8716";"925,2702";"-499,5020";"907,9980";"-384,0090";"910,8219";"-269,5908";"903,6843";"-498,1261";"907,9980";"-384,0090";"910,8219";"-269,5908";"903,6843";"-498,1261"
"0,0800";"921,6669";"-384,9353";"917,3969";"-271,1780";"924,1369";"-499,5732";"921,6669";"-384,9353";"917,3969";"-271,1780";"924,1369";"-499,5732";"906,3551";"-383,7592";"909,0192";"-269,4766";"902,1293";"-497,9562";"906,3551";"-383,7592";"909,0192";"-269,4766";"902,1293";"-497,9562"
"0,1000";"920,3174";"-385,1224";"915,4283";"-271,5929";"922,8485";"-499,6200";"920,3174";"-385,1224";"915,4283";"-271,5929";"922,8485";"-499,6200";"904,6598";"-383,5465";"907,5108";"-269,3123";"900,7246";"-497,8558";"904,6598";"-383,5465";"907,5108";"-269,3123";"900,7246";"-497,8558"
"0,1200";"918,9237";"-384,9207";"913,6384";"-271,7645";"921,7761";"-499,6689";"918,9237";"-384,9207";"913,6384";"-271,7645";"921,7761";"-499,6689";"902,8265";"-383,5198";"905,7581";"-269,0530";"899,3876";"-497,7984";"902,8265";"-383,5198";"905,7581";"-269,0530";"899,3876";"-497,7984"
"0,1400";"917,4884";"-384,9777";"911,9873";"-271,8112";"920,7449";"-499,8274";"917,4884";"-384,9777";"911,9873";"-271,8112";"920,7449";"-499,8274";"900,9967";"-383,3417";"903,7715";"-268,8177";"897,6898";"-497,4965";"900,9967";"-383,3417";"903,7715";"-268,8177";"897,6898";"-497,4965"
"0,1600";"916,2630";"-384,8956";"910,2222";"-271,8586";"919,5095";"-499,7942";"916,2630";"-384,8956";"910,2222";"-271,8586";"919,5095";"-499,7942";"899,3874";"-382,9971";"902,3161";"-268,5722";"896,1915";"-497,5114";"899,3874";"-382,9971";"902,3161";"-268,5722";"896,1915";"-497,5114"
"0,1800";"914,8363";"-384,7963";"908,5136";"-272,1459";"918,1300";"-499,7069";"914,8363";"-384,7963";"908,5136";"-272,1459";"918,1300";"-499,7069";"897,5920";"-383,0197";"900,5797";"-267,9972";"894,8200";"-497,4782";"897,5920";"-383,0197";"900,5797";"-267,9972";"894,8200";"-497,4782"
"0,2000";"913,2289";"-384,7686";"907,1531";"-272,2963";"916,9115";"-499,7539";"913,2289";"-384,7686";"907,1531";"-272,2963";"916,9115";"-499,7539";"895,8606";"-382,7875";"898,8173";"-267,8407";"893,3808";"-497,6003";"895,8606";"-382,7875";"898,8173";"-267,8407";"893,3808";"-497,6003"
"0,2200";"911,8263";"-384,8844";"905,4391";"-272,5718";"915,5816";"-499,8103";"911,8263";"-384,8844";"905,4391";"-272,5718";"915,5816";"-499,8103";"894,2660";"-382,6700";"897,0799";"-267,6306";"892,0863";"-497,5837";"894,2660";"-382,6700";"897,0799";"-267,6306";"892,0863";"-497,5837"
"0,2400";"910,5054";"-384,8119";"903,6801";"-272,7628";"914,3721";"-499,6867";"910,5054";"-384,8119";"903,6801";"-272,7628";"914,3721";"-499,6867";"888,0408";"-379,9929";"895,7541";"-267,3292";"883,9132";"-494,4455";"888,0408";"-379,9929";"895,7541";"-267,3292";"883,9132";"-494,4455"
"0,2600";"908,9559";"-385,0420";"902,0674";"-272,7677";"913,0373";"-499,5700";"908,9559";"-385,0420";"902,0674";"-272,7677";"913,0373";"-499,5700";"882,4593";"-376,3433";"894,1211";"-267,2173";"877,3476";"-490,2857";"882,4593";"-376,3433";"894,1211";"-267,2173";"877,3476";"-490,2857"
