Time,L_Hip,L_Knee,L_Ankle,R_Hip,R_Knee,R_Ankle
0.02,169.34,178.16,119.2,177.89,173.28,103.79
0.04,169.66,177.3,118.3,178.06,172.91,102.23
0.06,170.04,176.45,117.48,178.15,172.42,100.77
0.08,170.36,175.56,116.73,178.22,172.07,99.03
0.1,170.56,174.75,115.87,178.42,171.55,97.4
0.12,170.89,173.87,115.1,178.63,171.13,95.92
0.14,171.2,173.1,114.31,178.66,170.66,94.38
0.16,171.41,173.11,113.48,178.68,170.35,92.76
0.18,171.76,173.53,112.56,178.87,169.85,91.38
0.2,172.18,173.86,112.05,178.77,169.56,89.93
0.22,172.49,174.42,112.27,178.8,169.05,88.28
0.24,172.84,174.83,112.63,177.57,176.43,90.99
0.26,173.29,175.12,112.95,176.1,173.05,94.83
0.28,173.57,175.48,113.28,174.45,169.8,98.49
0.3,173.84,175.83,113.51,172.96,166.66,102.17
0.32,174.08,176.0,113.71,171.56,163.87,105.6
0.34,174.29,176.23,113.92,170.2,161.29,108.52
0.36,174.41,176.66,114.08,168.9,158.88,111.29
0.38,174.66,176.97,114.28,167.79,156.83,113.69
0.4,174.91,177.39,114.49,166.92,154.99,115.45
0.42,175.31,177.83,114.75,166.2,153.44,116.92
0.44,175.54,178.3,114.89,165.69,152.19,117.67
0.46,175.77,178.6,115.14,165.3,151.45,118.04
0.48,176.01,179.0,115.43,165.15,151.07,117.77
0.5,176.21,178.91,115.62,165.13,151.09,117.18
0.52,176.29,178.52,115.94,165.25,151.52,115.92
0.54,176.59,178.09,116.43,165.63,152.37,114.33
0.56,176.66,177.87,116.79,166.26,153.62,112.2
0.58,176.7,177.54,117.13,167.06,155.14,109.76
0.6,176.81,177.21,116.91,168.02,157.09,106.8
0.62,177.02,176.86,116.47,169.13,159.41,103.49
0.64,177.0,176.52,115.8,170.42,161.98,99.99
0.66,177.11,176.09,115.19,171.8,164.77,96.24
0.68,177.41,175.75,114.41,173.25,167.79,92.33
0.7,177.58,175.35,113.95,174.88,170.94,95.62
0.72,177.58,175.05,113.46,176.61,174.15,92.54
0.74,177.72,174.7,112.95,178.24,177.5,89.5
0.76,177.95,174.35,112.46,168.22,178.49,121.31
0.78,178.02,174.06,112.07,168.52,177.34,120.04
0.8,178.07,173.8,111.51,168.86,176.29,118.72
0.82,178.26,173.46,110.97,169.23,175.14,117.59
0.84,178.24,173.16,110.39,169.6,173.96,116.14
0.86,178.34,172.84,109.91,169.96,172.89,114.89
0.88,178.35,172.46,109.43,170.43,171.83,113.66
0.9,178.45,172.14,108.9,170.76,170.92,112.5
0.92,178.47,171.87,108.35,171.05,171.49,111.23
0.94,178.76,171.56,107.93,171.34,171.98,110.19
0.96,178.78,171.23,107.38,171.72,172.5,110.32
0.98,178.36,178.54,106.81,171.92,173.01,110.83
1.0,176.26,176.63,106.1,172.16,173.57,111.26
1.02,174.29,174.76,105.34,172.43,174.0,111.69
1.04,172.18,173.08,104.63,172.76,174.51,112.14
1.06,170.36,171.5,103.84,173.02,174.96,112.45
1.08,168.45,169.93,103.14,173.28,175.39,112.8
1.1,166.62,168.48,102.49,173.67,175.85,113.18
1.12,165.07,167.23,101.85,174.02,176.26,113.59
1.14,163.81,166.11,101.31,174.23,176.69,114.05
1.16,162.78,165.13,100.98,174.55,177.2,114.46
1.18,161.96,164.45,100.61,174.83,177.71,114.92
1.2,161.52,164.04,100.17,175.07,178.08,115.39
1.22,161.22,163.8,99.81,175.25,178.59,115.89
1.24,161.15,163.69,99.35,175.58,178.94,116.14
1.26,161.26,163.87,99.04,175.74,178.55,116.58
1.28,161.75,164.23,98.84,176.05,178.14,117.0
1.3,162.3,164.77,98.81,176.15,177.86,117.38
1.32,163.18,165.45,98.86,176.38,177.48,117.67
1.34,164.25,166.39,99.09,176.62,177.13,117.64
1.36,165.61,167.53,99.16,176.85,176.75,116.13
1.38,167.05,168.73,99.37,177.08,176.32,114.5
1.4,168.78,170.17,99.68,177.28,175.85,112.9
1.42,170.63,171.84,100.17,177.45,175.42,111.51
1.44,172.61,173.45,100.62,177.54,174.98,110.0
1.46,174.72,175.28,101.24,177.71,174.5,108.37
1.48,176.92,177.21,101.9,177.73,174.09,106.83
1.5,169.03,179.05,120.13,177.87,173.68,105.32
1.52,169.34,178.2,119.22,178.02,173.2,103.62
1.54,169.66,177.48,118.36,178.12,172.81,102.07
1.56,169.95,176.65,117.58,178.1,172.42,100.59
1.58,170.28,175.82,116.71,178.19,172.07,99.18
1.6,170.63,174.96,115.95,178.35,171.6,97.66
1.62,170.92,174.14,115.06,178.46,171.2,96.15
1.64,171.39,173.31,114.33,178.59,170.74,94.69
1.66,171.7,173.24,113.58,178.83,170.37,93.12
1.68,172.01,173.52,112.69,178.89,169.9,91.44
1.7,172.47,174.01,112.1,178.93,169.57,89.85
1.72,172.78,174.38,112.42,178.94,169.13,88.44
1.74,172.97,174.71,112.68,177.7,176.47,90.95
1.76,173.17,175.0,112.78,175.98,173.13,94.86
1.78,173.48,175.37,112.93,174.47,169.83,98.8
1.8,173.76,175.66,113.29,172.92,166.7,102.32
1.82,173.97,175.98,113.57,171.48,163.84,105.51
1.84,174.31,176.42,113.68,170.13,161.13,108.45
1.86,174.62,176.86,113.93,168.85,158.73,111.16
1.88,174.81,177.27,114.45,167.73,156.67,113.36
1.9,175.06,177.62,114.71,166.82,154.78,115.36
1.92,175.33,177.9,114.98,166.06,153.23,116.81
1.94,175.52,178.19,115.33,165.5,152.05,117.75
1.96,175.73,178.55,115.63,165.17,151.2,118.08
1.98,175.99,178.86,115.78,164.98,150.84,117.91
2.0,176.16,178.79,116.02,165.08,150.93,117.05
2.02,176.39,178.51,116.17,165.25,151.44,116.0
2.04,176.42,178.15,116.39,165.64,152.31,114.38
2.06,176.56,177.77,116.7,166.38,153.6,112.27
2.08,176.78,177.45,116.96,167.15,155.13,109.76
2.1,176.91,177.07,116.66,167.98,157.08,106.97
2.12,177.02,176.75,116.15,169.19,159.3,103.57
2.14,177.2,176.43,115.69,170.39,161.83,100.0
2.16,177.35,176.15,115.06,171.62,164.52,96.3
2.18,177.32,175.8,114.55,173.27,167.55,92.43
2.2,177.44,175.56,113.86,174.82,170.7,95.63
2.22,177.56,175.31,113.36,176.32,174.0,92.7
2.24,177.7,175.02,112.77,178.01,177.39,89.66
2.26,177.86,174.6,112.35,168.08,178.57,121.5
2.28,178.1,174.19,111.88,168.38,177.37,120.32
2.3,178.32,173.73,111.35,168.79,176.25,119.14
2.32,178.36,173.28,110.95,169.27,175.11,117.85
2.34,178.57,173.01,110.67,169.77,174.08,116.64
2.36,178.72,172.74,110.12,170.16,173.01,115.33
2.38,178.74,172.52,109.53,170.44,172.04,114.03
2.4,178.71,172.16,109.29,170.69,171.28,112.8
2.42,178.85,171.84,108.61,170.95,171.72,111.5
2.44,178.87,171.49,107.95,171.19,172.11,110.35
2.46,178.98,171.16,107.45,171.42,172.57,110.32
2.48,178.58,178.43,106.99,171.75,172.94,110.65
2.5,176.45,176.71,106.08,172.23,173.36,111.13
2.52,174.34,175.02,105.37,172.65,173.85,111.63
2.54,172.21,173.22,104.58,172.97,174.38,111.85
2.56,170.18,171.54,103.83,173.34,174.76,112.38
2.58,168.4,169.99,103.0,173.65,175.31,112.94
2.6,166.62,168.64,102.33,173.89,175.76,113.28
2.62,165.1,167.19,101.71,174.15,176.18,113.79
2.64,163.9,166.12,101.12,174.43,176.63,114.16
2.66,162.78,165.18,100.7,174.74,177.22,114.58
2.68,161.82,164.47,100.27,174.9,177.69,114.97
2.7,161.28,163.82,99.8,175.12,178.22,115.43
