Time,L_Hip_Vert,L_Knee,L_Ankle,R_Hip_Vert,R_Knee,R_Ankle
0.02,3.74,178.75,125.61,-9.42,178.98,95.77
0.04,2.53,177.94,126.14,-8.03,179.0,95.58
0.06,1.2,177.22,126.75,-6.53,179.03,95.58
0.08,-0.14,176.47,127.19,-4.88,179.01,95.72
0.1,-1.29,175.76,127.57,-3.14,178.98,96.1
0.12,-2.53,175.12,127.82,-1.34,178.94,96.49
0.14,-3.87,174.51,127.95,0.46,178.91,97.19
0.16,-4.99,173.85,127.87,2.26,178.87,98.01
0.18,-6.14,173.27,127.88,4.08,178.86,98.89
0.2,-7.36,172.84,127.72,5.83,178.86,99.65
0.22,-8.42,172.35,127.39,7.61,178.88,100.71
0.24,-9.5,172.1,127.11,-19.54,176.93,109.51
0.26,-10.56,171.8,126.72,-16.32,174.36,104.91
0.28,-11.42,171.71,126.1,-13.31,171.83,100.52
0.3,-12.23,171.57,125.48,-10.34,169.43,96.49
0.32,-12.93,171.56,124.68,-7.53,167.12,92.57
0.34,-13.49,171.49,123.68,-4.89,164.98,88.85
0.36,-14.02,171.67,122.71,-2.62,163.0,85.5
0.38,-14.35,171.78,121.59,-0.52,161.34,82.57
0.4,-14.68,172.05,120.39,1.41,159.84,79.99
0.42,-15.01,172.37,119.31,2.75,158.68,77.95
0.44,-15.26,172.77,118.17,3.91,157.81,76.43
0.46,-15.34,173.18,116.85,4.62,157.26,75.51
0.48,-15.48,173.68,115.7,5.05,157.06,75.13
0.5,-15.51,179.51,114.39,4.92,157.18,75.25
0.52,-15.36,179.44,113.09,4.58,157.51,75.83
0.54,-15.09,179.39,111.81,3.65,158.15,76.99
0.56,-14.78,179.43,110.57,2.51,159.04,78.62
0.58,-14.44,179.43,109.36,0.95,160.19,80.74
0.6,-13.77,179.42,108.3,-0.95,161.66,83.29
0.62,-13.25,179.48,107.24,-3.1,163.49,86.33
0.64,-12.66,179.54,106.32,-5.53,165.46,89.77
0.66,-11.88,179.49,105.41,-8.21,167.69,93.52
0.68,-11.15,179.46,104.5,-11.13,170.01,97.44
0.7,-10.43,179.47,103.74,-14.24,172.56,101.74
0.72,-9.66,179.44,103.05,-17.43,175.08,106.15
0.74,-8.7,179.44,102.63,-20.47,177.77,110.68
0.76,-7.72,179.4,102.25,7.07,178.54,125.46
0.78,-6.5,179.46,102.04,5.32,177.43,126.54
0.8,-5.37,179.47,101.96,3.66,176.24,127.39
0.82,-4.06,179.52,102.06,1.9,175.16,128.27
0.84,-2.77,179.54,102.09,0.05,173.95,128.87
0.86,-1.64,179.66,102.38,-1.77,172.88,129.49
0.88,-0.46,179.66,102.65,-3.38,171.93,129.91
0.9,0.8,179.57,103.03,-4.94,171.01,130.21
0.92,2.21,179.52,103.48,-6.47,170.11,130.3
0.94,3.59,179.46,103.95,-7.99,169.43,130.43
0.96,4.91,179.4,104.57,-9.36,168.84,130.13
0.98,-14.37,178.53,114.56,-10.76,168.29,129.79
1.0,-11.71,177.14,112.46,-12.06,167.83,129.2
1.02,-9.23,175.79,110.37,-13.32,167.56,128.45
1.04,-6.69,174.42,108.41,-14.5,167.3,127.62
1.06,-4.1,173.11,106.4,-15.52,167.03,126.69
1.08,-1.82,171.83,104.49,-16.4,166.93,125.47
1.1,0.21,170.71,102.81,-17.33,167.07,124.28
1.12,2.07,169.66,101.26,-18.11,167.22,123.01
1.14,3.65,168.8,99.88,-18.68,167.53,121.33
1.16,4.98,168.14,98.83,-19.18,167.99,119.7
1.18,5.92,167.59,98.11,-19.65,168.61,118.13
